StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q3,Q3_8_TEXT,Q4,Q5_1,Q5_2,Q6,Q6_6_TEXT,Q7,Q7_7_TEXT,Q8,Q8_12_TEXT,Q9_4,Q9_5,Q9_6,Q9_7,Q10#1_1,Q10#1_2,Q10#1_3,Q10#1_4,Q10#1_5,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q11_9,Q11_10,Q11_11,Q11_12,Q12,Q13,Q14,Q15,Q16,Q17,Q18_1,Q18_2,Q18_3,Q18_4,Q18_5,Q18_6,Q18_7,Q18_8,Q18_9
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Do you teach pre-service and/or in-service teachers?,"As a teacher educator, I work with ... (check all that apply) - Selected Choice","As a teacher educator, I work with ... (check all that apply) - Other - Text","By clicking “I 
agree” below you are indicating that you are at least 18 years old, have
 read and understood this consent form and agree to participate in this 
research study. Please feel free to print a copy of this page for your 
records.",Please move the sliders below to the appropriate positions. - Years of experience teaching in PK-12 classrooms.,Please move the sliders below to the appropriate positions. - Years of experience working as a teacher educator.,What is your current position? - Selected Choice,What is your current position? - Other - Text,What kind of teachers do you prepare? (check all that apply) - Selected Choice,What kind of teachers do you prepare? (check all that apply) - Other - Text,"If you specialize in preparing teachers for a subject or content area(s), please check the box(es) below that apply: - Selected Choice","If you specialize in preparing teachers for a subject or content area(s), please check the box(es) below that apply: - Other - Text","Please list one to four courses you commonly teach. (If course content may be hard to determine from the course title, please provide some description of the course.) - Course 1","Please list one to four courses you commonly teach. (If course content may be hard to determine from the course title, please provide some description of the course.) - Course 2","Please list one to four courses you commonly teach. (If course content may be hard to determine from the course title, please provide some description of the course.) - Course 3","Please list one to four courses you commonly teach. (If course content may be hard to determine from the course title, please provide some description of the course.) - Course 4",Please indicate the extent to which educational technology-related learning goals are included in... - Focus of course learning goals on educational technology - [QID11-ChoiceTextEntryValue-4],Please indicate the extent to which educational technology-related learning goals are included in... - Focus of course learning goals on educational technology - [QID11-ChoiceTextEntryValue-5],Please indicate the extent to which educational technology-related learning goals are included in... - Focus of course learning goals on educational technology - [QID11-ChoiceTextEntryValue-6],Please indicate the extent to which educational technology-related learning goals are included in... - Focus of course learning goals on educational technology - [QID11-ChoiceTextEntryValue-7],Please indicate the extent to which educational technology-related learning goals are included in... - Focus of course learning goals on educational technology - Click to write Statement 5,"Between 2015-2017, a collaborative research process was facilitated to develop teacher educator technology competencies (TETCs) resulting in the twelve competencies listed below (Foulger, Graziano, Schmidt-Crawford, & Slykhuis, 2017; https://goo.gl/8DXy87).

 

Please assess yourself on the TETCs on a 1-5 rating scale: - 1. I design instruction that utilizes content-specific technologies to enhance teaching and learning.","Between 2015-2017, a collaborative research process was facilitated to develop teacher educator technology competencies (TETCs) resulting in the twelve competencies listed below (Foulger, Graziano, Schmidt-Crawford, & Slykhuis, 2017; https://goo.gl/8DXy87).

 

Please assess yourself on the TETCs on a 1-5 rating scale: - 2. I incorporate pedagogical approaches that prepare teacher candidates to effectively use technology.","Between 2015-2017, a collaborative research process was facilitated to develop teacher educator technology competencies (TETCs) resulting in the twelve competencies listed below (Foulger, Graziano, Schmidt-Crawford, & Slykhuis, 2017; https://goo.gl/8DXy87).

 

Please assess yourself on the TETCs on a 1-5 rating scale: - 3. I support the development of the knowledge, skills, and attitudes of teacher candidates as related to teaching with technology in their content area.","Between 2015-2017, a collaborative research process was facilitated to develop teacher educator technology competencies (TETCs) resulting in the twelve competencies listed below (Foulger, Graziano, Schmidt-Crawford, & Slykhuis, 2017; https://goo.gl/8DXy87).

 

Please assess yourself on the TETCs on a 1-5 rating scale: - 4. I use online tools to enhance teaching and learning.","Between 2015-2017, a collaborative research process was facilitated to develop teacher educator technology competencies (TETCs) resulting in the twelve competencies listed below (Foulger, Graziano, Schmidt-Crawford, & Slykhuis, 2017; https://goo.gl/8DXy87).

 

Please assess yourself on the TETCs on a 1-5 rating scale: - 5. I use technology to differentiate instruction to meet diverse learning needs.","Between 2015-2017, a collaborative research process was facilitated to develop teacher educator technology competencies (TETCs) resulting in the twelve competencies listed below (Foulger, Graziano, Schmidt-Crawford, & Slykhuis, 2017; https://goo.gl/8DXy87).

 

Please assess yourself on the TETCs on a 1-5 rating scale: - 6. I use appropriate technology tools for assessment.","Between 2015-2017, a collaborative research process was facilitated to develop teacher educator technology competencies (TETCs) resulting in the twelve competencies listed below (Foulger, Graziano, Schmidt-Crawford, & Slykhuis, 2017; https://goo.gl/8DXy87).

 

Please assess yourself on the TETCs on a 1-5 rating scale: - 7. I use effective strategies for teaching online and/or blended/hybrid learning environments.","Between 2015-2017, a collaborative research process was facilitated to develop teacher educator technology competencies (TETCs) resulting in the twelve competencies listed below (Foulger, Graziano, Schmidt-Crawford, & Slykhuis, 2017; https://goo.gl/8DXy87).

 

Please assess yourself on the TETCs on a 1-5 rating scale: - 8. I use technology to connect globally with a variety of regions and cultures.","Between 2015-2017, a collaborative research process was facilitated to develop teacher educator technology competencies (TETCs) resulting in the twelve competencies listed below (Foulger, Graziano, Schmidt-Crawford, & Slykhuis, 2017; https://goo.gl/8DXy87).

 

Please assess yourself on the TETCs on a 1-5 rating scale: - 9. I address the legal, ethical, and socially-responsible use of technology in education.","Between 2015-2017, a collaborative research process was facilitated to develop teacher educator technology competencies (TETCs) resulting in the twelve competencies listed below (Foulger, Graziano, Schmidt-Crawford, & Slykhuis, 2017; https://goo.gl/8DXy87).

 

Please assess yourself on the TETCs on a 1-5 rating scale: - 10. I engage in ongoing professional development and networking activities to improve the integration of technology in teaching.","Between 2015-2017, a collaborative research process was facilitated to develop teacher educator technology competencies (TETCs) resulting in the twelve competencies listed below (Foulger, Graziano, Schmidt-Crawford, & Slykhuis, 2017; https://goo.gl/8DXy87).

 

Please assess yourself on the TETCs on a 1-5 rating scale: - 11. I engage in leadership and advocacy for using technology.","Between 2015-2017, a collaborative research process was facilitated to develop teacher educator technology competencies (TETCs) resulting in the twelve competencies listed below (Foulger, Graziano, Schmidt-Crawford, & Slykhuis, 2017; https://goo.gl/8DXy87).

 

Please assess yourself on the TETCs on a 1-5 rating scale: - 12. I apply basic troubleshooting skills to resolve technology issues.","Provide up to three examples of how you have demonstrated one of the competencies in your work. For example, you might describe an instance when you have ""used appropriate technology tools for assessment"" (for this or any of the other competencies).",Please explain the one or two technology competencies that you consider as being most important to your individual work as a teacher educator.,Please explain one or more of the technology competencies that you consider of low or no importance to your individual work as a teacher educator.,What is important in your work related to educational technology that is not reflected in the TETCs?,How do you develop your technology competencies?,What about the context you work in affects how you develop your technology competencies?,To what extent have the following factors been assets and/or barriers to the development of your technology competencies? - Access to educational technologies,To what extent have the following factors been assets and/or barriers to the development of your technology competencies? - Time to try out and use educational technologies,To what extent have the following factors been assets and/or barriers to the development of your technology competencies? - Technical and instructional design support to use educational technologies,To what extent have the following factors been assets and/or barriers to the development of your technology competencies? - Leadership around my department / program’s use of educational technology,To what extent have the following factors been assets and/or barriers to the development of your technology competencies? - A clear vision or plan related to my department / program’s use of educational technology,To what extent have the following factors been assets and/or barriers to the development of your technology competencies? - The role of technology in the subject matter(s) I focus on,To what extent have the following factors been assets and/or barriers to the development of your technology competencies? - My beliefs about the role of educational technologies in teaching and learning,To what extent have the following factors been assets and/or barriers to the development of your technology competencies? - Confidence in my ability to use educational technology,To what extent have the following factors been assets and/or barriers to the development of your technology competencies? - Confidence in my ability to integrate educational technologies with my own pedagogical strategies
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID9""}","{""ImportId"":""QID9_8_TEXT""}","{""ImportId"":""QID14""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID10_2""}","{""ImportId"":""QID13""}","{""ImportId"":""QID13_6_TEXT""}","{""ImportId"":""QID24""}","{""ImportId"":""QID24_7_TEXT""}","{""ImportId"":""QID25""}","{""ImportId"":""QID25_12_TEXT""}","{""ImportId"":""QID11_4""}","{""ImportId"":""QID11_5""}","{""ImportId"":""QID11_6""}","{""ImportId"":""QID11_7""}","{""ImportId"":""QID20#1_1""}","{""ImportId"":""QID20#1_2""}","{""ImportId"":""QID20#1_4""}","{""ImportId"":""QID20#1_5""}","{""ImportId"":""QID20#1_14""}","{""ImportId"":""QID2_1""}","{""ImportId"":""QID2_2""}","{""ImportId"":""QID2_3""}","{""ImportId"":""QID2_4""}","{""ImportId"":""QID2_5""}","{""ImportId"":""QID2_6""}","{""ImportId"":""QID2_7""}","{""ImportId"":""QID2_8""}","{""ImportId"":""QID2_9""}","{""ImportId"":""QID2_10""}","{""ImportId"":""QID2_11""}","{""ImportId"":""QID2_12""}","{""ImportId"":""QID7_TEXT""}","{""ImportId"":""QID17_TEXT""}","{""ImportId"":""QID18_TEXT""}","{""ImportId"":""QID16_TEXT""}","{""ImportId"":""QID15_TEXT""}","{""ImportId"":""QID21_TEXT""}","{""ImportId"":""QID6_4""}","{""ImportId"":""QID6_5""}","{""ImportId"":""QID6_6""}","{""ImportId"":""QID6_7""}","{""ImportId"":""QID6_10""}","{""ImportId"":""QID6_12""}","{""ImportId"":""QID6_13""}","{""ImportId"":""QID6_14""}","{""ImportId"":""QID6_15""}"
2018-09-05 08:47:40,2018-09-05 08:55:59,IP Address,152.33.50.156,100,499,True,2018-09-05 08:56:00,R_233Qwdof80xGXs1,,,,,36.165603637695,-79.520500183105,anonymous,EN,Yes,In-service teachers,,"Yes, I consent to participate in this research.",5,2,Administrator,,"Elementary / primary teachers,Middle grades / junior high school teachers,Secondary / high school teachers",,,,Assessment in Education,,,,Some course learning goals,,,,,5 (Highly competent),3     (Competent),4,4,4,4,5 (Highly competent),3     (Competent),4,5 (Highly competent),5 (Highly competent),5 (Highly competent),"I teach an online course that uses online discussion forums, video content delivery and differentiated instruction.",I think it is important for me to differentiate my instruction using technology tools.,I don't always consider it my responsibility to teach my students how to use technology tools.,I think that teachers who offer content in online platforms need to have the appropriate training and support in their platform.,"I read, take additional training and credentialing, attend webinars by Quality Matters.",I am limited by the software offered by the school and by the way in which students access my course.,Barrier I experience / have experienced.,Barrier I experience / have experienced.,Major barrier I experience / have experienced.,Barrier I experience / have experienced.,Barrier I experience / have experienced.,Neutral / neither a barrier nor an asset.,Major asset I experience / have experienced.,Major asset I experience / have experienced.,Major asset I experience / have experienced.
2018-09-05 08:44:44,2018-09-05 09:10:54,IP Address,152.33.63.82,100,1569,True,2018-09-05 09:10:54,R_2VOvjISWnJAG9oX,,,,,36.165603637695,-79.520500183105,anonymous,EN,Yes,Pre-service teachers,,"Yes, I consent to participate in this research.",9,15,Tenured faculty,,"Early childhood teachers,Elementary / primary teachers",,Other,"Math/science and social-emotional within early childhood, but it's fairly interdisciplinary",Supporting Math and Science in Early Childhood,Supporting Emotional and Social Development in Early Childhood,Early Childhood Policy and Advocacy,Education and Society,No course learning goals,No course learning goals,No course learning goals,No course learning goals,,2,3     (Competent),3     (Competent),4,3     (Competent),4,3     (Competent),2,2,3     (Competent),3     (Competent),3     (Competent),"#6 using online quizzes or smart response systems for in-class assessment, rather than pencil and paper assessments
#6 using SharePoint, Taskstream, and other systems for program-level assessments","#4 to keep teaching and learning engaging and find relevant content","#7 because I haven't taught online in a while, so it's less relevant to me currently",Discussion of thinking/research into appropriate technology use in early childhood,PD at my institution or exploring online,"Technology competency is encouraged, but not pushed. There is a wide range of comfort levels with technology among my colleagues.",Neutral / neither a barrier nor an asset.,Barrier I experience / have experienced.,Neutral / neither a barrier nor an asset.,Neutral / neither a barrier nor an asset.,Barrier I experience / have experienced.,Neutral / neither a barrier nor an asset.,Neutral / neither a barrier nor an asset.,Neutral / neither a barrier nor an asset.,Neutral / neither a barrier nor an asset.
2018-09-05 12:02:06,2018-09-05 12:13:14,IP Address,152.33.70.115,100,667,True,2018-09-05 12:13:14,R_2TBNdkSyHfqCjp9,,,,,36.165603637695,-79.520500183105,anonymous,EN,Yes,"Pre-service teachers,In-service teachers",,"Yes, I consent to participate in this research.",7,8,Tenure track (probationary) faculty,,Elementary / primary teachers,,"Mathematics,Science",,Principles of Learning and Teaching Math and Science,Educational Assessment,Student Teaching Seminar,Student Teaching Supervision,Some course learning goals,Some course learning goals,No course learning goals,Some course learning goals,,2,4,4,5 (Highly competent),3     (Competent),3     (Competent),2,1 (Not competent),2,4,4,4,"I model various web 2.0 tools and we discuss ways they would enhance student learning and engagement.

I require students to showcase an online assessment tool and how they would use it to gather and analyze data.

I attend NCTIES and other professional development opportunities to learn about better ways to integrate technology in teaching into my courses.",2 and 3 - I feel like it's my job to help candidates gain the knowledge and skills involved in learning about and using technology as a way to better reach and teach their students. These two competencies focus on that transferable skillsets.,"This is a hard one! As an elementary teacher educator, using technology to teach online is not very applicable. I don't include connecting globally in my courses because of the nature of the courses I teach. Because of that, it is not very important in the context of those courses.",Possibly helping students to know how to use the technology? I'm not sure these cover the actual routines involved in helping young children navigate the various tools (the management of it).,"Learn from practicing teachers, read and watch tutorials, go to conferences and seminars",My own mindset of continually staying abreast of best practices in the 21st century; my colleagues who are using technology,Barrier I experience / have experienced.,Major barrier I experience / have experienced.,Barrier I experience / have experienced.,Neutral / neither a barrier nor an asset.,Neutral / neither a barrier nor an asset.,Asset I experience / have experienced.,Asset I experience / have experienced.,Neutral / neither a barrier nor an asset.,Asset I experience / have experienced.
2018-09-05 16:34:55,2018-09-05 16:44:11,IP Address,134.139.34.15,100,555,True,2018-09-05 16:44:11,R_2VvCGhuGSfZSjaO,,,,,33.784301757812,-118.11569976807,anonymous,EN,Yes,"Pre-service teachers,In-service teachers",,"Yes, I consent to participate in this research.",11,8,Tenured faculty,,"Middle grades / junior high school teachers,Secondary / high school teachers",,,,Secondary Literacy,"Curriculum, Instruction, Assessment & Classroom Management",US & Global Comparative Education,Introduction to Educational Research,Some course learning goals,Some course learning goals,Some course learning goals,Some course learning goals,,4,5 (Highly competent),5 (Highly competent),5 (Highly competent),4,4,4,4,4,5 (Highly competent),4,5 (Highly competent),"I regularly use Twitter chats as a pedagogical tool in my work with inservice teachers to make public our conversations about various educational topics related to the US & Global Education Course

I use various features of my learning management system to enhance teaching and learning including discussion boards, embedded video for flipped pedagogies and online grading/feedback. ","It's critical to support preservice/ inservice teachers in understanding the possibilities of using technology to enhance student learning as well as the responsibilities inherent in incorporating technology in the classroom. I also think it's critical to teach teachers about what to do when technology fails (adaptability & back-up plans) and the limitations/ advantages/ disadvantages of various tech tools so they can be purposeful in curricular design. ","I think all of the competencies are actually critical to my work as a teacher educator in some way. ",I'd like to see a more nuanced category about purposeful choice in the use of educational technology tools,"Twitter, professional conferences, close work with my Academic Technology Services department, and by playing around with new technology that I'm introduced to","The fact that I'm the most tech savvy person in my department and using tech in innovative instructional ways--it pushes me to find support outside of my college and to seek out staying at the cutting edge. ",Asset I experience / have experienced.,Barrier I experience / have experienced.,Neutral / neither a barrier nor an asset.,Major barrier I experience / have experienced.,Major barrier I experience / have experienced.,Barrier I experience / have experienced.,Major asset I experience / have experienced.,Major asset I experience / have experienced.,Major asset I experience / have experienced.
2018-09-05 19:23:23,2018-09-05 19:33:23,IP Address,152.33.114.254,100,600,True,2018-09-05 19:33:24,R_3pbFgXTIoQU6fmF,,,,,36.165603637695,-79.520500183105,anonymous,EN,Yes,Pre-service teachers,,"Yes, I consent to participate in this research.",10,15,Tenured faculty,,Secondary / high school teachers,,Science,,Educational Assessment,Secondary Science Methods,,,Some course learning goals,Some course learning goals,,,,3     (Competent),3     (Competent),3     (Competent),3     (Competent),2,3     (Competent),2,1 (Not competent),1 (Not competent),3     (Competent),2,3     (Competent),"used technology for assessment
taught students how to use technology platforms
collaborate using technology",modeling using technology to enhance learning,trouble shooting to resolve tech issues,,workshops,time to explore and self-teach new technology,Barrier I experience / have experienced.,Major barrier I experience / have experienced.,Barrier I experience / have experienced.,Neutral / neither a barrier nor an asset.,Neutral / neither a barrier nor an asset.,Neutral / neither a barrier nor an asset.,Neutral / neither a barrier nor an asset.,Barrier I experience / have experienced.,Barrier I experience / have experienced.
2018-09-05 19:22:07,2018-09-05 19:38:54,IP Address,49.199.201.77,100,1006,True,2018-09-05 19:38:55,R_daFb6JKG4OLCZgd,,,,,-37.810302734375,144.95440673828,anonymous,EN,Yes,"Pre-service teachers,In-service teachers",,"Yes, I consent to participate in this research.",10,4,Tenure track (probationary) faculty,,"Early childhood teachers,Elementary / primary teachers,Middle grades / junior high school teachers,Secondary / high school teachers",,"Science,Technology",,Early years science and technology,Teacher transition and professional engagement,Understanding learning and learners,Primary Science Education,Some course learning goals,No course learning goals,Some course learning goals,Some course learning goals,,3     (Competent),3     (Competent),2,4,2,2,3     (Competent),2,2,3     (Competent),4,1 (Not competent),"Online discussion forums
Use of internet/wifi connected toys
Online quizzes and educational games
","Knowledge and skills of how and when to use technology
Technologically constructed pedagogy
Technology as an educational tool
",Na,Na,"Self education using research literature and trial error of tech tools such as tech toys ","University is supportive and promotes technology
However schools are resistant to embed technology in early childhood which makes it harder for me to find tech resources suited to school needs. But it is work in progress with the schools I am working in for my own research in promoting use of technology. ",Asset I experience / have experienced.,Asset I experience / have experienced.,Asset I experience / have experienced.,Neutral / neither a barrier nor an asset.,Neutral / neither a barrier nor an asset.,Asset I experience / have experienced.,Major asset I experience / have experienced.,Asset I experience / have experienced.,Asset I experience / have experienced.
2018-09-05 20:49:28,2018-09-05 20:57:39,IP Address,120.151.96.226,100,491,True,2018-09-05 20:57:40,R_3qERzR1mDDVLRV8,,,,,-37.766693115234,145.11669921875,anonymous,EN,Yes,"Pre-service teachers,In-service teachers",,"Yes, I consent to participate in this research.",11,14,Tenured faculty,,"Elementary / primary teachers,Middle grades / junior high school teachers,Secondary / high school teachers",,Science,,General science method,Physics method,,,Some course learning goals,Some course learning goals,,,,3     (Competent),3     (Competent),3     (Competent),3     (Competent),3     (Competent),3     (Competent),3     (Competent),5 (Highly competent),3     (Competent),2,2,3     (Competent),I have an assessment task in physics for preservice teachers that requires to design and present a lesson that utilizes technology to support and expand student learning. I also have an assessment task in general science for preservice teachers where they must use technology on their teaching placement and then make a video of themselves explaining how and why they used it to support student learning in science.,Using technology effectively to connect across the world and using assessment effectively as part of assessment with preservice teachers.,N/a,N/a,Usually teach myself and practice... just have a go!,"Often the technology dies not work, especially in lecture theatres.",Asset I experience / have experienced.,Barrier I experience / have experienced.,Barrier I experience / have experienced.,Asset I experience / have experienced.,Asset I experience / have experienced.,Asset I experience / have experienced.,Asset I experience / have experienced.,Asset I experience / have experienced.,Asset I experience / have experienced.
2018-09-05 21:09:47,2018-09-05 21:24:15,IP Address,1.128.109.22,100,868,True,2018-09-05 21:24:15,R_2trihbXALzAd9hf,,,,,-27.481002807617,153.04400634766,anonymous,EN,Yes,"Pre-service teachers,In-service teachers",,"Yes, I consent to participate in this research.",3,10,Tenured faculty,,Elementary / primary teachers,,Science,,Primary science education,Beginning teacher,Child and adolescent development,Innovative practices,Some course learning goals,Some course learning goals,Some course learning goals,Some course learning goals,,3     (Competent),3     (Competent),3     (Competent),4,3     (Competent),3     (Competent),4,4,3     (Competent),3     (Competent),3     (Competent),3     (Competent),"Online teaching - small group work, collaborative activities, pushing beyond transmissive approaches","Depends on context - but in my context 70% of our students are online, not on-campus students. So I think being about to demonstrate effective/best practice pedagogies in online context is critical",Can't think - they all seem important to me!,Peer mentoring and support ... but might fit under mentoring generally. Seems a bit more specific to me.,"Trial and error, learning from friends/colleagues, picking things up along the way",Numbers of online students,Asset I experience / have experienced.,Barrier I experience / have experienced.,Barrier I experience / have experienced.,Barrier I experience / have experienced.,Barrier I experience / have experienced.,Barrier I experience / have experienced.,Asset I experience / have experienced.,Asset I experience / have experienced.,Asset I experience / have experienced.
